
"Draw Date", "Draw Result"
"1/28/2009","25-26-30-36-39-42 FB = 38"
"1/24/2009","01-02-13-34-35-37 FB = 21"
"1/21/2009","02-10-11-15-25-41 FB = 42"
"1/17/2009","02-07-18-28-40-41 FB = 31"
"1/14/2009","14-19-32-34-41-42 FB = 17"
"1/10/2009","10-13-20-21-36-39 FB = 07"
"1/7/2009","15-24-31-34-40-42 FB = 29"
"1/3/2009","07-12-14-39-41-42 FB = 40"
"12/31/2008","04-09-21-22-23-24 FB = 18"
"12/27/2008","16-24-27-33-35-39 FB = 23"
"12/24/2008","07-09-16-28-30-41 FB = 01"
"12/20/2008","23-31-32-33-37-38 FB = 11"
"12/17/2008","06-12-16-32-37-41 FB = 11"
"12/13/2008","05-09-13-23-24-32 FB = 20"
"12/10/2008","10-24-31-33-37-42 FB = 29"
"12/6/2008","04-23-27-31-37-40 FB = 39"
"12/3/2008","04-05-16-23-34-38 FB = 42"
"11/29/2008","06-08-20-30-35-38 FB = 12"
"11/26/2008","17-23-25-27-33-34 FB = 21"
"11/22/2008","05-09-24-35-40-41 FB = 26"
"11/19/2008","06-08-14-28-30-37 FB = 23"
"11/15/2008","14-17-22-31-32-34 FB = 09"
"11/12/2008","11-18-26-31-32-34 FB = 02"
"11/8/2008","01-02-19-21-26-30 FB = 13"
"11/5/2008","08-13-16-33-38-41 FB = 02"
"11/1/2008","05-06-08-23-27-42 FB = 25"
"10/29/2008","02-09-23-28-39-40 FB = 31"
"10/25/2008","04-15-16-25-33-40 FB = 31"
"10/22/2008","06-08-10-21-36-42 FB = 27"
"10/18/2008","13-22-23-30-34-38 FB = 20"
"10/15/2008","12-14-18-20-25-27 FB = 35"
"10/11/2008","01-03-05-06-29-41 FB = 30"
"10/8/2008","01-04-05-07-08-36 FB = 06"
"10/4/2008","15-16-25-32-38-41 FB = 10"
"10/1/2008","02-12-16-25-34-36 FB = 24"
"9/27/2008","01-02-05-34-37-41 FB = 28"
"9/24/2008","03-04-06-19-39-42 FB = 11"
"9/20/2008","09-11-12-20-23-35 FB = 01"
"9/17/2008","12-16-23-24-30-31 FB = 08"
"9/13/2008","16-22-24-27-30-35 FB = 18"
"9/10/2008","04-10-13-19-24-35 FB = 16"
"9/6/2008","06-07-25-35-39-40 FB = 05"
"9/3/2008","01-04-09-25-26-39 FB = 13"
"8/30/2008","20-24-36-37-40-42 FB = 15"
"8/27/2008","02-12-24-27-31-37 FB = 28"
"8/23/2008","01-07-11-14-15-19 FB = 02"
"8/20/2008","01-10-18-29-36-39 FB = 13"
"8/16/2008","01-06-11-16-28-35 FB = 32"
"8/13/2008","03-13-16-22-24-42 FB = 25"
"8/9/2008","02-06-18-22-27-34 FB = 28"
"8/6/2008","02-04-13-16-19-27 FB = 30"
"8/2/2008","06-20-21-36-37-40 FB = 13"
"7/30/2008","01-04-21-24-34-40 FB = 13"
"7/26/2008","07-13-19-23-24-38 FB = 12"
"7/23/2008","02-14-17-23-31-37 FB = 38"
"7/19/2008","02-03-10-12-17-38 FB = 20"
"7/16/2008","01-17-23-30-34-42 FB = 15"
"7/12/2008","02-15-21-25-29-40 FB = 17"
"7/9/2008","02-17-18-31-35-37 FB = 14"
"7/5/2008","02-06-12-24-32-35 FB = 09"
"7/2/2008","13-18-19-21-23-26 FB = 10"
"6/28/2008","10-17-22-24-29-36 FB = 30"
"6/25/2008","01-12-15-25-40-41 FB = 04"
"6/21/2008","05-10-17-18-29-32 FB = 41"
"6/18/2008","09-13-17-18-25-29 FB = 14"
"6/14/2008","04-17-20-23-25-37 FB = 03"
"6/11/2008","11-13-14-19-22-41 FB = 05"
"6/7/2008","03-07-13-26-27-35 FB = 34"
"6/4/2008","09-22-23-26-30-32 FB = 14"
"5/31/2008","02-07-10-11-34-39 FB = 29"
"5/28/2008","06-10-22-26-32-36 FB = 37"
"5/24/2008","12-20-29-30-37-42 FB = 15"
"5/21/2008","07-15-25-26-32-39 FB = 40"
"5/17/2008","15-22-24-25-33-40 FB = 20"
"5/14/2008","05-10-15-32-33-42 FB = 26"
"5/10/2008","08-15-25-27-28-39 FB = 07"
"5/7/2008","02-05-12-27-33-42 FB = 15"
"5/3/2008","01-07-21-23-33-36 FB = 10"
"4/30/2008","08-12-19-30-36-39 FB = 22"
"4/26/2008","11-14-22-23-24-25 FB = 41"
"4/23/2008","01-07-18-30-36-39 FB = 12"
"4/19/2008","04-10-12-18-23-36 FB = 13"
"4/16/2008","01-17-20-30-32-35 FB = 04"
"4/12/2008","01-02-09-10-11-21 FB = 32"
"4/9/2008","01-06-14-34-35-40 FB = 27"
"4/5/2008","12-13-22-27-32-39 FB = 36"
"4/2/2008","05-07-12-21-23-36 FB = 39"
"3/29/2008","13-18-23-32-37-40 FB = 26"
"3/26/2008","09-11-23-29-30-39 FB = 07"
"3/22/2008","01-11-17-22-32-40 FB = 21"
"3/19/2008","01-08-09-10-28-34 FB = 27"
"3/15/2008","04-08-19-21-33-40 FB = 20"
"3/12/2008","04-05-21-24-25-42 FB = 29"
"3/8/2008","06-07-24-25-39-41 FB = 16"
"3/5/2008","22-26-29-33-34-35 FB = 36"
"3/1/2008","01-06-07-10-26-41 FB = 11"
"2/27/2008","04-12-30-35-37-38 FB = 01"
"2/23/2008","11-14-17-20-24-42 FB = 03"
"2/20/2008","12-20-31-32-34-39 FB = 04"
"2/16/2008","04-10-13-37-39-42 FB = 20"
"2/13/2008","03-08-11-12-25-32 FB = 15"
"2/9/2008","20-22-27-28-31-39 FB = 38"
"2/6/2008","07-21-22-23-30-36 FB = 18"
"2/2/2008","04-15-17-28-29-38 FB = 21"
"1/30/2008","11-17-30-32-33-39 FB = 29"
"1/26/2008","13-18-23-24-26-39 FB = 20"
"1/23/2008","01-16-21-24-35-37 FB = 12"
"1/19/2008","02-04-06-12-24-42 FB = 23"
"1/16/2008","01-17-19-21-27-35 FB = 25"
"1/12/2008","04-14-15-16-21-30 FB = 40"
"1/9/2008","09-14-17-18-38-39 FB = 40"
"1/5/2008","09-14-24-26-27-40 FB = 41"
"1/2/2008","12-16-17-21-26-39 FB = 34"
"12/29/2007","05-06-11-18-35-41 FB = 40"
"12/26/2007","08-14-17-19-21-32 FB = 01"
"12/22/2007","05-12-16-20-30-32 FB = 26"
"12/19/2007","07-17-19-23-32-36 FB = 31"
"12/15/2007","09-14-20-21-23-30 FB = 36"
"12/12/2007","08-14-15-16-34-39 FB = 10"
"12/8/2007","04-14-20-27-32-38 FB = 17"
"12/5/2007","11-12-30-32-35-42 FB = 38"
"12/1/2007","08-17-25-30-34-42 FB = 29"
"11/28/2007","03-04-07-12-37-39 FB = 05"
"11/24/2007","04-10-11-13-31-41 FB = 20"
"11/21/2007","07-13-20-22-32-42 FB = 36"
"11/17/2007","11-23-26-27-29-39 FB = 08"
"11/14/2007","08-12-14-19-26-41 FB = 42"
"11/10/2007","02-17-18-29-31-35 FB = 11"
"11/7/2007","04-08-25-34-38-42 FB = 17"
"11/3/2007","09-13-21-28-35-37 FB = 02"
"10/31/2007","13-14-22-26-27-34 FB = 31"
"10/27/2007","10-13-16-31-36-39 FB = 04"
"10/24/2007","03-04-12-19-26-37 FB = 25"
"10/20/2007","03-05-09-10-15-28 FB = 25"
"10/17/2007","02-11-24-27-32-37 FB = 19"
"10/13/2007","09-16-20-29-32-36 FB = 03"
"10/10/2007","12-15-23-34-36-40 FB = 01"
"10/6/2007","07-10-27-36-39-41 FB = 28"
"10/3/2007","03-17-19-32-35-38 FB = 02"
"9/29/2007","04-10-26-27-32-38 FB = 08"
"9/26/2007","08-16-18-23-27-40 FB = 13"
"9/22/2007","06-12-17-18-34-37 FB = 30"
"9/19/2007","13-17-19-26-29-35 FB = 39"
"9/15/2007","01-22-27-30-31-39 FB = 29"
"9/12/2007","17-18-20-23-25-35 FB = 28"
"9/8/2007","13-17-32-34-37-40 FB = 04"
"9/5/2007","16-18-25-27-37-42 FB = 04"
"9/1/2007","03-05-09-21-27-41 FB = 06"
"8/29/2007","01-18-21-31-35-38 FB = 16"
"8/25/2007","02-07-09-13-40-42 FB = 27"
"8/22/2007","06-07-18-30-31-33 FB = 09"
"8/18/2007","07-09-13-28-30-36 FB = 20"
"8/15/2007","05-14-20-37-40-42 FB = 19"
"8/11/2007","01-19-27-40-41-42 FB = 25"
"8/8/2007","06-19-24-25-27-30 FB = 17"
"8/4/2007","02-09-26-27-32-40 FB = 42"
"8/1/2007","21-22-23-24-25-37 FB = 08"
"7/28/2007","07-12-18-25-29-36 FB = 34"
"7/25/2007","04-11-18-25-34-35 FB = 42"
"7/21/2007","10-11-16-22-29-37 FB = 38"
"7/18/2007","02-11-15-26-37-38 FB = 30"
"7/14/2007","04-07-13-20-22-36 FB = 08"
"7/11/2007","05-19-30-34-37-41 FB = 36"
"7/7/2007","06-23-24-29-34-35 FB = 07"
"7/4/2007","16-31-34-38-39-41 FB = 42"
"6/30/2007","01-15-16-30-31-38 FB = 17"
"6/27/2007","04-17-25-37-40-42 FB = 32"
"6/23/2007","06-15-19-25-35-37 FB = 02"
"6/20/2007","09-12-17-18-33-35 FB = 16"
"6/16/2007","02-04-06-21-29-32 FB = 40"
"6/13/2007","12-29-31-32-34-42 FB = 28"
"6/9/2007","09-15-23-32-33-36 FB = 21"
"6/6/2007","03-22-24-28-33-42 FB = 21"
"6/2/2007","05-10-11-25-29-33 FB = 38"
"5/30/2007","15-22-29-32-40-42 FB = 09"
"5/26/2007","09-17-24-35-38-42 FB = 25"
"5/23/2007","10-14-17-22-24-38 FB = 20"
"5/19/2007","07-18-25-34-38-41 FB = 03"
"5/16/2007","05-06-17-20-23-31 FB = 10"
"5/12/2007","08-22-23-35-38-39 FB = 02"
"5/9/2007","04-13-18-25-31-33 FB = 30"
"5/5/2007","15-18-21-26-30-35 FB = 17"
"5/2/2007","02-04-10-22-23-28 FB = 33"
"4/28/2007","07-12-17-23-33-41 FB = 24"
"4/25/2007","02-10-22-34-35-42 FB = 33"
"4/21/2007","03-04-10-13-14-29 FB = 06"
"4/18/2007","05-30-34-35-37-38 FB = 23"
"4/14/2007","10-12-19-24-25-37 FB = 38"
"4/11/2007","02-14-20-24-30-39 FB = 42"
"4/7/2007","01-17-18-31-32-39 FB = 25"
"4/4/2007","01-04-25-30-34-38 FB = 05"
"3/31/2007","03-06-10-13-29-41 FB = 26"
"3/28/2007","04-05-08-21-31-37 FB = 17"
"3/24/2007","01-03-08-12-16-38 FB = 11"
"3/21/2007","06-15-18-19-20-33 FB = 14"
"3/17/2007","10-21-26-28-30-38 FB = 42"
"3/14/2007","05-06-09-26-37-41 FB = 04"
"3/10/2007","08-09-13-16-29-31 FB = 19"
"3/7/2007","07-14-20-21-30-33 FB = 06"
"3/3/2007","05-08-12-16-23-29 FB = 06"
"2/28/2007","06-18-21-24-32-39 FB = 36"
"2/24/2007","04-05-11-15-22-32 FB = 24"
"2/21/2007","02-16-26-32-35-36 FB = 18"
"2/17/2007","05-09-16-18-26-36 FB = 42"
"2/14/2007","04-13-28-29-40-42 FB = 34"
"2/10/2007","01-02-08-13-36-41 FB = 26"
"2/7/2007","01-07-13-28-29-41 FB = 23"
"2/3/2007","04-08-14-18-22-25 FB = 38"
"1/31/2007","07-20-23-27-37-41 FB = 32"
"1/27/2007","02-05-07-15-37-40 FB = 42"
"1/24/2007","10-24-25-30-38-41 FB = 20"
"1/20/2007","08-13-15-22-26-31 FB = 25"
"1/17/2007","01-08-18-25-26-38 FB = 07"
"1/13/2007","08-12-16-23-25-32 FB = 39"
"1/10/2007","04-09-16-19-25-41 FB = 23"
"1/6/2007","08-10-11-15-16-18 FB = 39"
"1/3/2007","08-21-24-30-35-38 FB = 01"
"12/30/2006","01-04-08-11-24-33 FB = 26"
"12/27/2006","11-15-22-28-40-42 FB = 41"
"12/23/2006","01-07-25-28-34-38 FB = 36"
"12/20/2006","02-13-22-23-24-37 FB = 14"
"12/16/2006","03-20-24-30-31-35 FB = 05"
"12/13/2006","04-10-22-23-27-40 FB = 11"
"12/9/2006","02-07-25-35-37-39 FB = 04"
"12/6/2006","16-25-26-35-36-42 FB = 09"
"12/2/2006","03-04-16-17-22-29 FB = 32"
"11/29/2006","06-21-23-24-25-34 FB = 12"
"11/25/2006","03-14-17-23-32-37 FB = 42"
"11/22/2006","01-03-10-13-25-40 FB = 20"
"11/18/2006","02-04-08-14-21-41 FB = 13"
"11/15/2006","04-06-07-17-28-41 FB = 20"
"11/11/2006","01-13-15-21-28-34 FB = 22"
"11/8/2006","06-08-09-11-16-22 FB = 38"
"11/4/2006","07-17-22-26-31-38 FB = 14"
"11/1/2006","03-14-22-29-31-41 FB = 02"
"10/28/2006","04-07-08-27-30-37 FB = 24"
"10/25/2006","12-13-18-27-31-39 FB = 02"
"10/21/2006","06-08-14-34-35-38 FB = 22"
"10/18/2006","19-23-27-28-34-40 FB = 38"
"10/14/2006","08-10-18-28-30-42 FB = 05"
"10/11/2006","10-11-12-15-18-33 FB = 26"
"10/7/2006","08-11-18-24-28-30 FB = 03"
"10/4/2006","01-04-30-33-36-38 FB = 07"
"9/30/2006","05-16-20-26-27-38 FB = 42"
"9/27/2006","11-19-22-26-27-34 FB = 37"
"9/23/2006","05-11-12-18-19-23 FB = 31"
"9/20/2006","11-15-16-27-32-38 FB = 29"
"9/16/2006","03-04-14-15-28-37 FB = 20"
"9/13/2006","10-11-13-18-37-39 FB = 41"
"9/9/2006","01-19-23-28-31-34 FB = 29"
"9/6/2006","08-15-20-21-26-35 FB = 23"
"9/2/2006","09-10-13-18-22-24 FB = 32"
"8/30/2006","05-11-17-18-25-42 FB = 08"
"8/26/2006","06-13-14-17-22-37 FB = 15"
"8/23/2006","04-05-08-13-19-27 FB = 14"
"8/19/2006","04-18-23-28-34-40 FB = 36"
"8/16/2006","03-13-19-26-28-34 FB = 21"
"8/12/2006","08-10-26-31-32-38 FB = 11"
"8/9/2006","04-20-24-33-39-42 FB = 19"
"8/5/2006","01-12-15-34-35-37 FB = 06"
"8/2/2006","08-09-16-20-26-37 FB = 31"
"7/29/2006","02-11-16-19-21-39 FB = 06"
"7/26/2006","21-23-24-25-32-35 FB = 40"
"7/22/2006","15-19-23-34-35-42 FB = 30"
"7/19/2006","03-17-21-37-39-41 FB = 14"
"7/15/2006","05-12-14-15-18-23 FB = 26"
"7/12/2006","03-04-25-35-39-41 FB = 31"
"7/8/2006","17-19-32-34-37-39 FB = 30"
"7/5/2006","14-16-32-34-41-42 FB = 28"
"7/1/2006","02-05-14-17-25-34 FB = 31"
"6/28/2006","01-21-29-37-39-40 FB = 07"
"6/24/2006","02-03-04-27-33-42 FB = 21"
"6/21/2006","10-11-14-23-26-34 FB = 31"
"6/17/2006","16-30-31-32-37-39 FB = 03"
"6/14/2006","13-16-17-21-29-36 FB = 01"
"6/10/2006","07-08-10-11-13-28 FB = 18"
"6/7/2006","03-10-21-28-29-33 FB = 12"
"6/3/2006","03-07-08-11-14-26 FB = 18"
"5/31/2006","09-15-17-24-27-35 FB = 34"
"5/27/2006","13-19-26-27-37-38 FB = 33"
"5/24/2006","05-13-18-23-25-37 FB = 15"
"5/20/2006","05-11-19-30-32-40 FB = 36"
"5/17/2006","07-17-19-27-31-36 FB = 02"
"5/13/2006","01-19-22-33-35-41 FB = 34"
"5/10/2006","01-09-11-25-27-32 FB = 14"
"5/6/2006","10-15-24-26-34-36 FB = 01"
"5/3/2006","01-06-11-14-17-19 FB = 36"
"4/29/2006","07-20-28-36-37-42 FB = 08"
"4/26/2006","12-15-16-22-25-41 FB = 34"
"4/22/2006","01-21-26-30-37-39 FB = 34"
"4/19/2006","01-03-12-13-20-21 FB = 11"
"4/15/2006","02-07-16-28-32-42 FB = 22"
"4/12/2006","11-24-26-30-32-40 FB = 12"
"4/8/2006","02-07-10-22-30-41 FB = 31"
"4/5/2006","05-10-18-26-32-33 FB = 34"
"4/1/2006","02-18-24-29-33-41 FB = 38"
"3/29/2006","04-13-14-33-37-41 FB = 21"
"3/25/2006","08-15-22-27-31-40 FB = 05"
"3/22/2006","05-07-15-25-32-37 FB = 22"
"3/18/2006","14-15-16-20-23-36 FB = 38"
"3/15/2006","19-29-33-37-40-41 FB = 10"
"3/11/2006","07-11-16-23-25-39 FB = 14"
"3/8/2006","01-02-17-19-37-41 FB = 30"
"3/4/2006","09-11-12-20-26-31 FB = 29"
"3/1/2006","03-07-12-21-26-32 FB = 27"



